ISIC_Detailed,MainActivityDescription,ISIC_Section,Typical_Capital_TZS,Count,Sector_Name
111,BIASHARA YA NAFAKA,A,46531000.0,1,"Agriculture, forestry & fishing"
111,BIDHAA ZA KILIMO,A,3253000.0,1,"Agriculture, forestry & fishing"
111,DUKA LA KILIMO NA PEMBEJEO,A,23970000.0,1,"Agriculture, forestry & fishing"
111,"Growing of cereals (except rice), leguminous crops and oil seeds",A,26021500.0,4,"Agriculture, forestry & fishing"
111,IMPUT AND SALES OF AGRICULTURE,A,23616000.0,1,"Agriculture, forestry & fishing"
111,KUUZA NAFAKA,A,1804000.0,1,"Agriculture, forestry & fishing"
112,Growing of rice,A,179611000.0,1,"Agriculture, forestry & fishing"
113,"Growing of vegetables and melons, roots and tubers",A,3499000.0,3,"Agriculture, forestry & fishing"
119,Growing of other non-perennial crops,A,11445000.0,5,"Agriculture, forestry & fishing"
119,MAZAO,A,22950000.0,1,"Agriculture, forestry & fishing"
122,Growing of tropical and subtropical fruits,A,216132000.0,1,"Agriculture, forestry & fishing"
125,Growing of other tree and bush fruits and nuts,A,12382000.0,2,"Agriculture, forestry & fishing"
127,UUZAJI WA KAHAWA NA CHAI KWA REJAREJA,A,1668000.0,1,"Agriculture, forestry & fishing"
128,"Growing of spices, aromatic, drug and pharmaceutical crops",A,15308000.0,1,"Agriculture, forestry & fishing"
130,Plant propagation,A,8816000.0,1,"Agriculture, forestry & fishing"
141,Raising of cattle and buffaloes,A,16950500.0,2,"Agriculture, forestry & fishing"
145,Raising of swine/pigs,A,43857000.0,1,"Agriculture, forestry & fishing"
146,Raising of poultry,A,1773500.0,2,"Agriculture, forestry & fishing"
146,UFUGAJI WA KUKU,A,21333000.0,1,"Agriculture, forestry & fishing"
149,Raising of other animals,A,3141000.0,1,"Agriculture, forestry & fishing"
150,Mixed farming,A,11486000.0,12,"Agriculture, forestry & fishing"
161,KUWATAMIA VIJANA WAJASIRILIA MALI WA KILIMO,A,21759000.0,1,"Agriculture, forestry & fishing"
161,Support activities for crop production,A,20245000.0,13,"Agriculture, forestry & fishing"
161,UTOAJI HUDUMA USIMAMIZI WA MIRADI MBALIMBALI YA ARDHI NA KILIMO,A,6757000.0,1,"Agriculture, forestry & fishing"
161,UZALISHAJI NA UUZAJI WA CHAKULA CHA MIFUGO,A,14039000.0,1,"Agriculture, forestry & fishing"
161,UZALISHALI WA CHAKULA CHA MIFUGO,A,1372000.0,1,"Agriculture, forestry & fishing"
162,Support activities for animal production,A,6096500.0,4,"Agriculture, forestry & fishing"
163,Post-harvest crop activities,A,9497500.0,8,"Agriculture, forestry & fishing"
164,Seed processing for propagation,A,15569000.0,2,"Agriculture, forestry & fishing"
164,"Seed processing for propagation: drying, cleaning, grading and treating of seeds until they are marketed.",A,59674000.0,1,"Agriculture, forestry & fishing"
170,UNUNUZI NA UUZAJI WA NGOZI,A,33713000.0,1,"Agriculture, forestry & fishing"
170,UWINDAJI,A,25586000.0,1,"Agriculture, forestry & fishing"
210,Silviculture and other forestry activities,A,3187000.0,1,"Agriculture, forestry & fishing"
210,UTUNZAJI BUSTANI,A,18159000.0,1,"Agriculture, forestry & fishing"
220,Logging,A,13456500.0,2,"Agriculture, forestry & fishing"
220,Production of roundwood for forest-based manufacturing industries,A,5411000.0,1,"Agriculture, forestry & fishing"
230,Gathering of non-wood forest products,A,8559500.0,2,"Agriculture, forestry & fishing"
240,Support services to forestry,A,38804000.0,5,"Agriculture, forestry & fishing"
311,Marine fishing,A,98941000.0,6,"Agriculture, forestry & fishing"
311,"UVUVI, UANDAAJI NA USAFIRISHAJI WA SAMAKI",A,19358000.0,1,"Agriculture, forestry & fishing"
311,VIFAA VYA UVUVI,A,17785000.0,1,"Agriculture, forestry & fishing"
311,uvuvi,A,574000.0,1,"Agriculture, forestry & fishing"
312,Freshwater fishing,A,12680000.0,1,"Agriculture, forestry & fishing"
312,KUTENGENEZA MASHINE,A,23558000.0,1,"Agriculture, forestry & fishing"
321,Marine aquaculture,A,21895000.0,1,"Agriculture, forestry & fishing"
321,UFUGAJI WA SAMAKI,A,2328000.0,1,"Agriculture, forestry & fishing"
322,Freshwater aquaculture,A,16405000.0,1,"Agriculture, forestry & fishing"
510,Mining of hard coal,B,127170000.0,9,Mining & quarrying
510,UCHIMBAJI WA MADINI YA MAKAA YA MAWE,B,19237000.0,1,Mining & quarrying
610,Extraction of crude petroleum,B,148358000.0,11,Mining & quarrying
620,Extraction of natural gas,B,50402000.0,1,Mining & quarrying
729,BIASHARA YA MADINI,B,181924000.0,1,Mining & quarrying
729,HUDUMA ZA MADINI,B,173595000.0,1,Mining & quarrying
729,KUTENGENEZA NA KUUZA BIDHAA ZA MADINI,B,178295000.0,1,Mining & quarrying
729,Mining of Nickel,B,178000.0,1,Mining & quarrying
729,Mining of other non-ferrous metal ores,B,160403000.0,3,Mining & quarrying
